No,Usia,Pendidikan,Tes Wawancara,TPA,Tes Keterampilan Teknis,Target
1,25,3,19,16,12,-1
2,28,3,29,16,14,-1
3,24,1,21,17,12,-1
4,20,1,22,13,12,-1
5,27,3,26,13,11,1
6,21,1,18,15,10,-1
7,20,1,28,16,14,1
8,23,3,20,14,13,-1
9,22,1,21,15,12,-1
10,25,3,25,16,15,1
11,25,3,17,12,9,-1
12,19,1,24,17,14,1
13,22,1,17,10,10,-1
14,24,3,27,17,12,1
15,23,3,24,16,15,1
16,22,1,18,10,9,-1
17,25,3,24,15,16,1
18,20,1,25,15,10,1
19,23,3,29,17,17,1
20,28,3,32,16,17,1
21,20,1,17,12,9,-1
22,24,1,19,11,11,-1
23,20,1,25,15,15,1
24,24,1,21,14,13,-1
25,25,3,22,19,15,1
26,22,1,20,13,7,-1
27,28,3,26,13,12,1
28,27,3,19,10,10,-1
29,25,1,20,12,7,-1
30,26,1,20,10,11,-1
31,27,3,30,15,13,1
32,22,1,26,16,16,1
33,24,1,23,15,8,-1
34,20,1,18,12,10,-1
35,24,3,27,14,15,1
36,21,1,31,16,17,1
37,25,3,21,12,9,-1
38,22,2,26,15,16,1
39,26,3,18,10,13,-1
40,24,1,24,13,13,-1
41,23,1,26,17,15,1
42,20,1,26,16,17,1
43,19,1,19,12,9,-1
44,26,2,15,10,10,-1
45,24,1,24,12,13,-1
46,24,3,28,16,14,1
47,21,1,23,13,12,-1
48,20,1,25,12,10,-1
49,21,1,22,14,11,-1
50,23,2,26,15,16,1
51,27,3,23,13,13,-1
52,25,3,29,20,16,1
53,21,1,28,16,14,1
54,22,2,25,12,10,-1
55,26,3,29,14,16,1
56,27,3,27,17,14,1
57,19,1,24,10,16,-1
58,22,1,27,15,16,1
59,24,3,20,16,11,-1
60,21,1,29,17,15,1
61,21,1,27,14,16,1
62,23,2,19,16,13,-1
63,20,1,27,10,14,-1
64,25,3,25,17,14,1
65,21,1,26,14,9,-1
66,24,1,27,16,10,-1
67,23,1,25,13,11,-1
68,23,2,24,16,15,1
69,26,3,26,14,13,1
70,20,1,19,16,16,-1
71,24,3,28,16,14,1
72,22,1,27,16,15,1
73,21,1,25,14,14,1
74,21,1,28,15,13,1
75,23,1,21,17,12,-1
76,25,3,23,12,14,-1
77,24,3,29,16,15,1
78,27,3,23,12,11,-1
79,20,1,27,13,9,-1
80,20,1,29,17,14,1
81,21,1,27,14,15,1
82,23,1,19,16,10,-1
